RANK,RESIDENCY,STATUS
1,طب وجراحة العيون,بوست
2,طب وجراحة العيون,بوست
3,القلب والأوعية الدموية,بوست
4,القلب والأوعية الدموية,بوست
5,الأمراض الجلدية والتناسلية وأمراض الذكورة,بوست
6,القلب والأوعية الدموية,بوست
7,جراحة التجميل,بوست
8,أمراض النساء والتوليد,بوست
9,الباثولوجيا (وراثة),بوست
10,أمراض المخ والأعصاب والطب النفسي,بوست
11,جراحة العظام والإصابات,بوست
12,الباطنة العامة (وحدة الغدد الصماء),بوست
13,الباطنة العامة (وحدة الأمراض الروماتيزمية),بوست
14,جراحة العظام والإصابات,بوست
15,طب الأطفال,بوست
16,الأشعة التشخيصية,بوست
17,أمراض النساء والتوليد,بوست
18,الباطنة العامة (وحدة الجهاز الهضمي),بوست
19,الجراحة التجريبية والاكلينيكية (معهد البحوث),بوست
20,جراحة عامة (وحدة الجهاز الهضمي العلوي والكبد ب),بوست
21,أمراض المخ والأعصاب والطب النفسي,بوست
22,جراحة العظام والإصابات,بوست
23,الروماتيزم والتأهيل والطب الطبيعي,بوست
24,طب الأطفال,بوست
25,أمراض النساء والتوليد,بوست
26,جراحة المسالك البولية,بوست
27,أمراض النساء والتوليد,بوست
28,الباثولوجيا (باثولوجي),بوست
29,أمراض النساء والتوليد,بوست
30,طب الأطفال,بوست
31,الباطنة العامة (وحدة أمراض الكبد والمرارة والبنكرياس),بوست
32,جراحة الأطفال,بوست
33,الفسيولوجيا,بوست
34,الأشعة التشخيصية,بوست
35,جراحة المسالك البولية,بوست
36,التشريح,بوست
37,الباطنة العامة (وحدة السكر والميتابوليزم),بوست
38,الأشعة التشخيصية,بوست
39,الباطنة العامة (وحدة أمراض وزراعة الكلى),بوست
40,الاشعة التشخيصية (معهد البحوث),بوست
41,جراحة مخ وأعصاب,بوست
42,الفارماكولوجي,بوست
45,الباطنة العامة (وحدة أمراض الدم),بوست
46,أمراض النساء والتوليد,بدون بوست
47,الطب الحرج,بوست
48,طب الأطفال,بوست
49,الأنف والأذن والحنجرة,بوست
50,الباثولوجيا (باثولوجي),بوست
51,طب المناطق الحارة,بوست
52,طب المناطق الحارة,بوست
53,طب الأطفال,بوست
54,طب المجتمع (صحة عامة),بوست
55,الفسيولوجيا,بوست
56,الأنف والأذن والحنجرة,بوست
57,أمراض الدم (معهد البحوث),بوست
58,طب الأطفال,بوست
59,جراحة عامة (وحدة الجهاز الهضمي العلوي والكبد),بوست
60,أمراض القلب والأوعية الدموية (مستشفى الطلبة),بوست
61,طب الأطفال,بوست
62,الطب الحرج,بوست
63,طب الأطفال,بوست
64,الطب الحرج,بوست
65,جراحة مخ وأعصاب,بوست
66,الطب الحرج,بوست
67,طب الأطفال,بوست
68,الفسيولوجيا,بوست
