ID,FIRST YEAR RANK,SECOND YEAR RANK C,THIRD YEAR RANK C,FOURTH YEAR RANK C
756,627,668,611,559
757,515,547,566,581
759,234,235,238,330
761,190,130,119,114
762,779,772,737,705
763,549,586,600,597
764,678,729,716,687
767,679,535,495,471
772,811,775,782,
773,853,892,860,770
774,81,67,73,30
776,443,389,385,403
777,713,805,807,777
780,737,814,764,667
781,904,859,818,723
786,50,25,15,17
787,262,229,270,172
788,966,961,937,
791,285,199,189,242
793,488,520,519,574
801,760,820,815,766
802,462,560,574,507
803,718,724,706,621
804,826,730,700,578
805,636,610,581,509
806,824,722,703,
807,612,546,559,480
808,752,727,718,659
809,524,694,734,
810,315,430,509,544
811,749,902,920,
812,42,42,52,32
813,144,122,100,78
814,698,663,624,528
816,195,107,92,74
817,269,236,252,270
837,398,388,407,356
839,162,152,169,169
840,44,60,81,133
841,18,33,40,103
844,234,261,235,276
845,710,664,677,703
847,799,738,,
848,973,983,957,
849,29,35,42,36
851,395,366,357,313
853,849,868,859,757
854,646,704,,
856,104,93,89,180
859,197,171,167,231
860,173,163,136,76
861,403,341,325,370
863,594,595,528,496
864,894,789,759,790
867,911,880,868,
870,684,841,851,701
875,683,613,599,467
876,643,773,742,646
877,763,829,824,791
893,434,566,617,639
896,872,793,707,633
897,286,319,308,293
902,172,201,219,185
906,598,610,589,565
910,462,421,408,398
912,734,836,814,748
913,243,203,163,
915,542,496,460,385
916,102,193,299,457
918,335,419,452,557
919,129,168,190,213
920,45,73,79,107
921,560,804,712,631
923,53,105,115,264
924,327,423,376,315
925,128,129,125,168
929,930,898,878,800
930,324,323,309,258
931,33,42,26,6
933,381,281,225,116
935,,,,
938,902,896,847,
939,95,102,96,207
940,769,751,728,674
941,304,314,351,322
942,656,763,754,739
946,13,23,9,22
947,212,215,162,104
949,,,,
952,614,602,556,504
953,171,115,97,58
964,933,890,881,804
965,467,489,536,
966,575,603,682,
968,349,325,318,343
972,249,271,208,
973,397,377,376,358
977,476,543,548,529
978,928,886,869,789
979,323,328,301,347
982,586,673,675,611
983,167,230,183,118
984,80,47,37,46
985,610,709,,
986,868,845,838,798
987,878,921,902,
988,494,516,539,550
990,640,702,674,562
991,,,,
993,583,554,508,456
994,294,327,323,301
996,711,609,563,353
997,320,223,166,87
998,272,469,398,249
999,330,277,281,142
1000,396,474,456,514
1006,506,530,531,446
1007,192,287,354,553
1008,581,506,488,488
1011,529,542,524,406
1012,224,274,245,228
1013,389,392,409,458
1019,503,448,577,
1022,,,,
1029,624,819,,
1034,150,106,91,120
1035,291,268,326,284
1040,451,553,545,
1043,913,873,833,706
1044,133,181,318,
1046,802,741,775,731
1052,619,467,394,220
1056,927,941,931,
1063,563,670,665,538
1064,339,312,362,307
1069,33,83,104,131
1073,299,316,294,292
1074,118,146,154,149
1075,970,980,946,
1089,793,731,710,665
1091,472,519,498,561
1092,73,110,107,170
1093,112,103,107,82
1095,967,956,924,
1097,91,82,101,135
1099,163,183,171,221
1100,728,726,693,600
1102,253,231,184,163
1103,599,657,657,717
1105,867,860,884,
1109,776,786,767,702
1112,,,,
1114,893,918,,
1115,925,935,912,
1116,435,426,425,415
1117,61,46,45,64
1118,139,151,222,326
1119,137,132,178,124
1126,794,738,,
1127,470,525,541,376
1128,321,264,251,208
1131,652,641,628,605
1136,985,986,,
1140,614,695,694,
1142,978,963,944,
1143,95,176,253,
1144,944,957,927,
1146,764,826,817,
1147,261,213,215,344
1148,,,,
1149,889,932,897,806
1150,502,436,534,
1152,469,505,511,393
1153,995,975,941,
1154,538,600,612,628
1181,907,939,917,
1184,877,768,720,635
1186,390,405,370,291
1187,608,568,578,563
1196,248,392,350,161
1203,307,347,311,316
1206,7,5,11,9
1213,498,532,516,
1215,420,464,546,517
1220,551,638,627,575
1225,863,837,840,
1229,932,940,914,
1230,74,70,106,155
1231,508,410,402,308
1232,567,592,622,634
1234,501,395,411,489
1235,901,930,896,802
1236,960,970,949,
1246,790,849,836,792
1257,240,264,284,209
1260,603,601,,
1263,994,995,963,
1264,692,707,699,730
1269,147,233,216,200
1271,41,19,19,31
1272,480,472,478,432
1274,832,857,875,
1279,203,251,288,360
1282,84,78,94,147
1284,943,966,929,
1286,221,228,250,342
1290,663,787,771,744
1296,755,681,629,533
1301,214,185,218,226
1302,958,955,930,
1304,963,949,922,811
1305,660,630,645,683
1310,367,299,295,364
1320,672,648,666,719
1327,630,614,596,474
1329,844,910,907,
1330,113,138,137,211
1331,177,170,165,239
1332,180,140,113,97
1336,670,791,753,708
1337,260,197,,
1339,186,120,99,110
1340,467,494,544,441
1341,,,,
1349,685,589,469,351
1350,984,989,,
1353,208,290,334,390
1355,216,155,145,84
1356,950,962,933,
1358,406,367,302,265
1361,332,399,416,500
1363,205,118,85,81
1364,436,524,504,464
1367,165,177,148,323
